course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
beginner to pro in excel: financial modeling and valuation,Pago,195,22257,2697,138,all levels,7.5,2014-11-25T23:00:40Z,business finance
the complete investment banking course 2017,Pago,195,8575,809,110,all levels,5.5,2016-10-10T16:16:26Z,business finance
the complete financial analyst course 2017,Pago,195,24481,2347,174,all levels,10.0,2016-01-21T01:38:48Z,business finance
python for finance: investment fundamentals & data analytics,Pago,195,3811,278,103,all levels,6.5,2017-03-30T22:17:09Z,business finance
financial modeling for startups & small businesses,Pago,195,4991,137,79,beginner level,11.5,2017-03-29T22:36:05Z,business finance
options trading  how to win with weekly options,Pago,115,7489,1190,25,intermediate level,1.0,2015-10-22T21:54:28Z,business finance
black algo trading: build your trading robot,Pago,200,20195,1113,227,all levels,16.0,2014-10-27T22:01:36Z,business finance
accounting & financial statement analysis: complete training,Pago,150,10042,594,43,all levels,3.0,2015-10-22T00:03:48Z,business finance
cryptocurrency trading: complete guide to trading altcoins,Pago,95,367,42,35,all levels,5.0,2017-06-21T23:18:47Z,business finance
forex robots: expect to earn 175% pa forex robot included!,Pago,200,10603,872,42,all levels,5.5,2014-10-12T21:19:11Z,business finance
three steps trading  live trading  real account,Pago,190,1197,11,46,all levels,5.0,2017-05-24T23:02:07Z,business finance
option trading for rookies:  understand options completely,Pago,150,2893,65,62,all levels,2.0,2016-08-10T15:27:06Z,business finance
how i learned stock trading (and how you can too),Pago,200,1580,12,53,expert level,2.0,2017-05-02T21:20:54Z,business finance
learn to trade for profit: find and trade winning stocks,Pago,95,10605,71,77,all levels,3.0,2014-10-24T18:13:49Z,business finance
trading inside bars  master 1 easy pattern to be successful,Pago,125,2996,200,23,intermediate level,2.0,2015-03-09T00:24:38Z,business finance
four fundamentals of financial planning,Pago,30,6219,23,20,all levels,1.0,2017-02-14T04:42:58Z,business finance
options trading  calendar spread course for every trader,Pago,200,1113,11,17,all levels,1.5,2017-04-02T21:46:00Z,business finance
dividend investing: build your portfolio for a better future,Pago,60,8314,83,47,beginner level,4.0,2015-01-24T06:31:19Z,business finance
learn accounting understand business,Pago,200,5572,123,33,beginner level,5.5,2014-03-27T17:58:37Z,business finance
how to consistently win trading stocks in 30 days or less,Pago,145,1433,169,15,intermediate level,1.0,2016-05-09T05:44:33Z,business finance
a beginner's guide to quantopian futures api,Pago,20,936,6,11,intermediate level,1.5,2017-04-11T00:59:50Z,business finance
how to buy cheap options  options trading pricing model,Pago,200,658,2,19,all levels,1.0,2017-06-02T18:12:45Z,business finance
excel crash course: master excel for financial analysis,Pago,105,8121,689,40,all levels,3.5,2016-10-18T00:51:59Z,business finance
comprehensive guide to financial markets investing &trading,Pago,60,4187,600,79,beginner level,9.0,2016-02-29T18:45:41Z,business finance
stock trading ninja: complete system for trading success,Pago,155,9445,497,38,all levels,4.5,2014-02-19T19:04:28Z,business finance
hedge and mutual fund careers: the complete guide,Pago,200,3255,340,102,all levels,8.5,2016-06-20T20:17:12Z,business finance
algorithmic trading in forex: create your first forex robot!,Pago,185,7941,713,40,all levels,6.5,2014-08-11T08:01:14Z,business finance
the power modeling bootcamp: advanced excel in 10 days,Pago,150,1680,158,76,all levels,5.5,2016-11-26T04:09:14Z,business finance
options trading basics (3course bundle),Pago,180,10100,985,45,beginner level,11.0,2013-02-25T11:36:06Z,business finance
how to win 97% of your options trades,Pago,125,5050,461,26,all levels,1.5,2015-02-10T04:21:40Z,business finance
how i make consistent returns trading options,Pago,200,2310,162,26,all levels,3.5,2016-10-05T17:42:52Z,business finance
forex strategies: kelly criterion larry williams and more!,Pago,185,5528,506,32,all levels,3.0,2015-02-19T11:31:27Z,business finance
elite trend trader: learn to trade stocks options & forex,Pago,125,6451,237,28,all levels,5.0,2014-04-16T13:58:31Z,business finance
options trading introduction: day trade stock options,Pago,95,12394,218,30,beginner level,2.5,2015-02-20T21:39:41Z,business finance
the almost perfect options trading strategy system  unique,Pago,200,1793,18,15,all levels,1.0,2017-03-03T21:43:05Z,business finance
forex trading   learn to trade forex like the banks,Pago,20,3223,240,23,all levels,1.0,2016-03-30T15:29:03Z,business finance
learn to trade for profit:trading with japanese candlesticks,Pago,60,16385,273,45,beginner level,3.0,2014-09-02T03:53:13Z,business finance
the most powerful options spread trading front ratio spread,Pago,200,1487,16,18,all levels,2.0,2017-03-08T21:09:41Z,business finance
what finance job is for you? explanation of 14 finance roles,Pago,200,2951,232,60,all levels,4.0,2016-05-04T05:22:32Z,business finance
the blueprint for successful stock trading,Pago,120,2697,331,15,all levels,1.0,2015-08-13T18:58:05Z,business finance
trading for beginners  intermediate level,Pago,150,3979,40,39,beginner level,5.0,2016-11-09T01:45:20Z,business finance
start trading stocks using technical analysis!,Pago,25,3190,244,45,all levels,4.0,2016-02-03T17:10:31Z,business finance
learn how to set up an incubator hedge fund  stepbystep,Pago,200,1406,71,54,expert level,1.5,2017-01-18T20:55:27Z,business finance
vps for forex trading  protect your forex robots,Pago,160,4252,225,24,all levels,2.0,2014-09-19T04:07:58Z,business finance
introduction to accounting: the language of business,Pago,20,11958,370,134,beginner level,11.5,2014-10-02T09:16:55Z,business finance
basic excel for basic bookkeeping and accounting,Pago,95,7743,340,33,beginner level,1.5,2015-09-10T00:30:48Z,business finance
"using 'the greeks to understand options""",Pago,50,2134,55,5,all levels,1.0,2016-07-13T18:37:40Z,business finance
trading options for consistent returns: calendar spreads,Pago,200,1214,69,20,all levels,1.5,2016-10-07T04:58:46Z,business finance
how to create your personal budget,Pago,20,3870,53,10,all levels,1.0,2016-03-21T21:09:49Z,business finance
the complete value investing course: a proven approach,Pago,200,2146,212,49,all levels,4.5,2015-06-16T22:43:07Z,business finance
forex trading with price action,Pago,195,484,57,19,beginner level,1.0,2017-03-14T18:30:55Z,business finance
emini es futures  advanced non directional options trading,Pago,200,1057,15,14,all levels,1.5,2017-01-11T20:48:19Z,business finance
forex trading  advanced fundamental analysis,Pago,20,1754,100,49,intermediate level,2.5,2016-06-30T17:06:46Z,business finance
how to invest with tiny capital in stocks ?,Pago,20,1239,5,6,beginner level,0.7,2017-05-23T16:07:09Z,business finance
learn how to successfully trade stocks: in 5 simple steps,Pago,95,2493,276,108,all levels,9.5,2015-01-31T19:02:09Z,business finance
forex metatrader 4: master mt4 like a pro forex trader,Pago,150,2602,402,57,beginner level,5.0,2015-10-28T17:32:56Z,business finance
intermediate options trading concepts for stocks and options,Pago,40,2000,30,9,all levels,1.0,2015-04-13T20:28:04Z,business finance
options trading 101: the basics,No Pago,0,1514,66,11,beginner level,0.55,2017-03-23T22:19:57Z,business finance
practical accounts app overview,Pago,20,1361,1,14,intermediate level,3.0,2016-10-04T23:38:32Z,business finance
bitcoin profits for beginners,Pago,100,61,18,30,beginner level,1.5,2017-06-09T17:01:05Z,business finance
trend traders club: how to find and trade fast moving trends,Pago,75,1513,31,60,all levels,5.5,2015-08-04T19:16:51Z,business finance
financial statements basics,Pago,20,1374,19,9,beginner level,2.0,2016-01-14T18:58:56Z,business finance
high performance stock trading using key options techniques,Pago,40,2103,15,6,all levels,1.5,2015-04-12T22:28:45Z,business finance
introduction to financial statement analysis,Pago,20,1480,25,25,beginner level,1.5,2016-03-21T17:00:37Z,business finance
basics of economics (college level),Pago,25,2516,12,20,all levels,1.5,2015-01-08T13:55:52Z,business finance
stock market investing for beginners,No Pago,0,50855,2698,15,beginner level,1.5,2013-12-25T19:53:34Z,business finance
accounting for beginners : learn basics in under 1 hour,Pago,50,1971,13,20,beginner level,1.5,2015-12-03T17:08:10Z,business finance
straddle options trading  profit in any market direction,Pago,200,837,9,19,all levels,1.0,2016-10-03T17:32:40Z,business finance
fundamentals of forex trading,No Pago,0,17160,620,23,all levels,1.0,2014-08-29T20:10:38Z,business finance
binary options: trading strategies 90% accuracy and signals,Pago,195,1723,38,24,beginner level,1.0,2015-12-14T18:29:57Z,business finance
website investing 101  buying & selling online businesses,No Pago,0,6811,151,51,all levels,2.0,2016-08-05T17:03:15Z,business finance
practical accounts & bookkeeping automated overview ,Pago,20,2060,17,30,all levels,4.5,2016-01-28T21:43:31Z,business finance
live account  etf trading system  hacking the stock market,Pago,150,2318,19,16,all levels,5.0,2014-12-31T03:29:21Z,business finance
stock market leverage: how to start trading options wisely,Pago,95,2153,14,13,beginner level,1.5,2015-07-27T18:39:51Z,business finance
stock market foundations,No Pago,0,19339,794,9,beginner level,2.0,2014-03-31T21:35:06Z,business finance
crash course on working capital management,Pago,20,3177,8,8,all levels,1.0,2015-04-16T17:35:54Z,business finance
advanced accounting a complete study for ca / cma / cfa / cs,Pago,150,1535,16,462,all levels,62.0,2016-06-03T17:42:27Z,business finance
61% profit in 1 month  crush your forex trading paradigm,Pago,20,1027,29,25,all levels,1.5,2016-07-18T22:38:56Z,business finance
how to create a routine trading,Pago,25,307,8,5,all levels,0.1333333333333333,2017-05-01T18:50:43Z,business finance
forex trading secrets |mt4 robot (ea) inside no coding,Pago,150,2096,48,29,all levels,0.6833333333333333,2015-08-24T22:16:54Z,business finance
forex sos course: trading tweaks and working forex strategy,Pago,50,1315,48,59,beginner level,2.5,2015-11-18T22:40:10Z,business finance
introduction to financial modeling,No Pago,0,29167,1463,8,intermediate level,1.5,2014-05-27T16:22:16Z,business finance
quantitative aptitude for banking & competitive examinations,Pago,50,1056,1,42,all levels,3.0,2017-02-09T19:33:52Z,business finance
option spreads and credit spreads bundle,Pago,180,2212,194,24,expert level,4.5,2013-03-05T18:27:38Z,business finance
b com accountancy i (paper eco 02 ignou),Pago,50,2946,6,284,all levels,31.5,2016-05-05T23:07:43Z,business finance
forex trading  learn in a quick + profitable way + support,Pago,100,271,48,47,all levels,3.5,2017-02-20T23:45:20Z,business finance
auditing basics (professional course level),Pago,25,3771,10,35,all levels,2.5,2015-02-13T14:37:18Z,business finance
stock market investing encyclopedia: how to invest in stocks,Pago,200,3143,11,39,intermediate level,3.0,2015-11-10T22:55:53Z,business finance
learn the basics of preparing accounting statements,Pago,20,1951,30,20,intermediate level,0.55,2015-10-13T21:07:22Z,business finance
elliott wave forex trading with the elliott wave theory,Pago,90,4022,35,14,expert level,1.0,2016-12-15T15:49:13Z,business finance
corporate finance  a brief introduction,No Pago,0,11724,649,17,beginner level,1.5,2016-03-04T05:58:09Z,business finance
excel functions to analyze and visualize data,Pago,20,2283,54,16,intermediate level,2.0,2015-04-20T18:52:32Z,business finance
building financial statements in excel,Pago,35,1181,1,18,beginner level,1.0,2017-06-29T23:34:42Z,business finance
transfer pricing a complete analysis,Pago,50,1852,3,14,all levels,2.5,2016-12-28T18:19:16Z,business finance
accounting: get hired without work experience,Pago,100,4661,187,20,all levels,1.0,2014-09-01T21:43:47Z,business finance
forex trading for beginners  basics,Pago,50,989,9,11,all levels,1.0,2017-04-24T16:42:56Z,business finance
basic bookkeeping hacks,Pago,20,5841,16,28,all levels,1.5,2016-06-14T15:43:23Z,business finance
complete trading plan course for stocks & forex (10 hours),Pago,200,1087,14,61,all levels,9.5,2017-03-23T05:54:27Z,business finance
"forex trading with fixed 'risk through options trading""",Pago,200,611,4,26,beginner level,1.0,2017-06-07T17:15:07Z,business finance
intro to investment banking m&a ipo modeling + free book,Pago,60,1922,149,15,all levels,20.0,2016-01-21T01:25:31Z,business finance
how to pick the right penny stocks to invest in 2017,Pago,150,9015,65,23,all levels,2.5,2014-07-01T20:04:27Z,business finance
top 10 trading ideas in the equities market,Pago,20,661,4,12,all levels,1.0,2017-05-02T21:59:07Z,business finance
intro to financial modeling,Pago,105,1077,110,55,beginner level,6.0,2016-08-19T20:12:24Z,business finance
shark accounting  building a business by the numbers!,Pago,20,6050,140,17,beginner level,1.5,2014-05-18T19:08:04Z,business finance
forex trading make your first trade today!,Pago,150,3523,46,45,all levels,4.0,2016-01-10T21:39:39Z,business finance
accounting in 60 minutes  a brief introduction,No Pago,0,56659,4397,16,beginner level,1.5,2013-04-07T21:39:25Z,business finance
sap fico for beginners  a guide to sap financial accounts,Pago,100,1444,101,59,beginner level,5.0,2016-07-25T16:08:07Z,business finance
learn how to double your forex trading account in one trade,Pago,60,2900,424,36,intermediate level,2.5,2014-10-19T22:04:51Z,business finance
accounting superpowers: learn accounts understand business!,Pago,200,1437,96,34,beginner level,2.5,2016-08-08T22:23:09Z,business finance
python algo trading: fx trading with oanda,Pago,200,453,42,33,intermediate level,3.0,2017-03-14T00:39:45Z,business finance
save on your taxes,Pago,20,2437,12,23,all levels,1.5,2016-11-16T17:38:38Z,business finance
financial model basics: build a model from start to finish,Pago,30,5057,142,13,beginner level,1.0,2015-02-06T07:12:25Z,business finance
option trading for rookies: the covered call option strategy,Pago,95,6092,25,29,beginner level,1.5,2016-11-03T05:22:20Z,business finance
eft for stock options trading success & making better trades,Pago,95,4530,13,31,all levels,1.5,2015-08-06T19:08:20Z,business finance
learn to trade the stock market without blowing your profits,Pago,60,6967,16,34,all levels,1.0,2017-05-02T20:53:24Z,business finance
get a credit repair publication on amazon and live life,Pago,20,727,11,25,beginner level,3.0,2017-04-26T18:17:51Z,business finance
fundamentals of accounting,Pago,20,1560,43,25,all levels,3.0,2016-08-31T22:03:44Z,business finance
rsi options trading & technical analysis (3 course bundle),Pago,200,1047,9,46,all levels,3.5,2017-01-26T22:55:27Z,business finance
basics of mutual funds for ca / cma / cs / cfa exams,Pago,125,1045,2,17,intermediate level,1.0,2017-04-24T21:59:45Z,business finance
accounting 101: how to read an accounting balance sheet,Pago,200,3050,86,22,beginner level,2.0,2015-01-27T09:27:49Z,business finance
stock options day trading mindset for success,Pago,200,2988,21,43,all levels,4.5,2015-09-29T19:15:24Z,business finance
introduction to bookkeeping and accounting,Pago,35,2623,158,20,beginner level,1.0,2015-08-21T20:33:25Z,business finance
learn to trade the news,Pago,200,1924,351,544,all levels,46.5,2015-07-16T22:03:29Z,business finance
value investing taught by six superinvestors,Pago,200,3804,267,66,all levels,5.0,2015-06-19T21:22:17Z,business finance
trading for everyone  the independent investor course i,Pago,120,4133,15,36,beginner level,4.0,2015-10-08T20:23:36Z,business finance
get acquired: learn from the head of acquisitions for ebay,Pago,195,1420,70,29,all levels,2.5,2016-04-28T18:04:46Z,business finance
stock market investment: practical accounting,Pago,125,1120,6,43,beginner level,3.0,2017-01-23T17:04:49Z,business finance
"how to remove 'risk from penny stocks  options trading""",Pago,200,668,12,22,all levels,1.0,2017-02-07T00:45:51Z,business finance
accounting basics in 66 minutes (absolutely for beginners),Pago,25,4086,31,14,all levels,1.5,2015-03-08T21:13:13Z,business finance
tax accounting: difficult topic made easy to understand,Pago,200,1033,10,29,all levels,2.0,2017-01-11T16:17:20Z,business finance
analysis of company financial statements,Pago,20,832,34,34,all levels,1.5,2016-12-07T20:19:37Z,business finance
forex trading like banks – step by step with live examples,Pago,195,677,45,40,all levels,4.5,2016-12-18T16:13:47Z,business finance
fundamentals of investing!,Pago,20,3125,54,13,beginner level,2.0,2015-08-09T18:34:30Z,business finance
bank financial management a comprehensive study,Pago,50,1081,6,21,all levels,1.5,2017-02-10T00:51:57Z,business finance
learn to trade forex and stocks: from beginner to advanced,Pago,200,1645,25,42,all levels,2.0,2016-09-07T20:33:30Z,business finance
"master 'technical analysis and chart reading skills bundle""",Pago,120,3348,352,13,all levels,3.0,2013-02-25T21:38:29Z,business finance
naked put options trade covered call & poor man covered call,Pago,200,939,7,19,all levels,1.5,2017-02-10T22:40:57Z,business finance
the ultimate guide to dividend & dividend growth investing,Pago,200,2115,59,88,all levels,5.5,2015-11-13T18:10:25Z,business finance
charting for beginners 101: technical analysis demystified,Pago,45,2230,102,10,all levels,1.5,2015-10-09T21:27:49Z,business finance
build a dcf valuation model,Pago,50,2053,234,44,all levels,5.5,2014-10-01T18:49:29Z,business finance
introductory financial accounting,Pago,80,1793,265,54,beginner level,10.0,2012-10-03T03:20:10Z,business finance
introduction to cryptocurrencies and blockchain,No Pago,0,3775,138,11,beginner level,2.0,2017-05-01T21:18:54Z,business finance
trade pullback candlestick strategy  make consistent pips,Pago,200,521,67,24,all levels,3.0,2016-02-24T17:30:41Z,business finance
accounting standards basics (professional course level),Pago,20,2222,9,12,all levels,0.7,2015-02-07T15:06:57Z,business finance
use the magic multiple moving average forex trading system,Pago,50,1097,252,10,intermediate level,1.0,2014-11-08T02:21:54Z,business finance
quickbooks 2015 training for newbies,Pago,200,2506,21,76,beginner level,6.0,2015-05-11T23:16:54Z,business finance
trading psychology: trading mindset mastery,Pago,120,975,23,23,intermediate level,1.0,2015-09-30T18:57:45Z,business finance
option trading: how to adjust deltaneutral strangles!,Pago,145,1398,15,26,all levels,1.5,2015-10-19T23:01:15Z,business finance
profitable binary option trading strategy,Pago,195,1096,24,24,all levels,1.5,2015-10-29T00:34:09Z,business finance
tax strategy: financial planning for beginners,Pago,200,1703,59,25,all levels,2.0,2014-11-04T01:37:23Z,business finance
accounting 2 simplified for you,Pago,45,1446,23,27,beginner level,5.0,2014-12-09T08:31:40Z,business finance
project funding modelling (for professionals),Pago,20,2736,3,8,all levels,1.5,2014-12-29T09:00:17Z,business finance
investing: how i consistently beat the stock market,Pago,200,2000,31,34,all levels,4.5,2014-12-11T20:35:05Z,business finance
bookkeeping basics:  understand the fundamentals,Pago,75,853,45,48,beginner level,4.5,2016-11-06T22:33:44Z,business finance
leasing  a comprehensive study (professional course level),Pago,20,3094,2,22,all levels,3.5,2015-07-17T22:10:39Z,business finance
trading options for consistent returns: options basics,No Pago,0,4077,281,20,beginner level,1.5,2016-08-18T21:57:04Z,business finance
technitrader leading hybrid indicator trading,Pago,20,4117,54,5,intermediate level,1.0,2013-04-04T21:36:10Z,business finance
financial modeling: build a dcf equity valuation model,Pago,20,1369,17,31,all levels,1.5,2016-03-06T21:33:58Z,business finance
cryptoarbitrager: bitcoin trading robot (no mining),Pago,150,1224,42,14,all levels,0.55,2016-03-23T21:13:52Z,business finance
accounting is easy (for beginners),Pago,20,3870,12,90,all levels,9.0,2014-05-20T18:13:38Z,business finance
non directional weekly options trading system  etf & emini,Pago,200,897,22,21,all levels,2.0,2016-05-24T15:43:06Z,business finance
the complete position trading course: position trading stock,Pago,45,1311,36,5,all levels,1.0,2016-01-15T18:10:47Z,business finance
master iron condors  double the credit for half the risk,Pago,60,1338,139,7,expert level,1.0,2013-03-02T13:27:41Z,business finance
basics of investing in mutual funds,Pago,20,1589,26,42,intermediate level,1.5,2015-03-03T01:22:39Z,business finance
a value investing approach to the stock market,Pago,20,1189,12,15,all levels,1.5,2015-02-19T20:40:23Z,business finance
learn how to invest for huge profits or make it big trading!,Pago,50,701,12,37,all levels,5.5,2015-06-19T22:49:13Z,business finance
how to fund your million dollar idea: equity debt unfund,Pago,50,1105,3,54,intermediate level,6.0,2015-02-11T06:52:30Z,business finance
mastering candlestick charting : high probability trading,Pago,50,123,16,35,all levels,2.0,2015-09-22T00:05:53Z,business finance
binary options course  level 2,No Pago,0,5874,207,9,intermediate level,2.0,2014-06-26T02:00:55Z,business finance
stock technical analysis with r,Pago,50,354,32,49,all levels,7.0,2016-03-18T20:46:05Z,business finance
"get to know the vix index (aka 'the fear index)""",Pago,60,727,64,9,all levels,1.0,2013-03-08T11:42:48Z,business finance
apply finance concepts for smart project management,No Pago,0,3465,161,24,beginner level,2.0,2016-02-23T21:05:46Z,business finance
introduction to futures trading and live trade demonstration,Pago,60,54,4,6,expert level,0.7166666666666667,2017-05-24T14:16:09Z,business finance
crowdfunding to win,Pago,40,627,15,15,all levels,1.5,2015-09-23T22:16:35Z,business finance
comprehensive forex mastery program,Pago,45,650,107,97,all levels,10.0,2013-02-07T19:50:45Z,business finance
preparation of consolidated financial statements (basic),No Pago,0,965,0,18,intermediate level,1.5,2017-06-28T20:37:13Z,business finance
succeed in bonds even if you don't know where to start,Pago,200,1113,6,8,all levels,1.0,2017-02-03T04:34:07Z,business finance
learn to trade for profit: ten most profitable trading rules,Pago,95,739,28,45,all levels,2.0,2014-12-23T15:28:09Z,business finance
succeed in lotto even if you don't know where to start!,Pago,20,1201,12,18,all levels,1.5,2017-05-11T22:19:28Z,business finance
cfa corporate finance level 2,Pago,50,2474,6,128,all levels,17.5,2015-07-07T20:35:21Z,business finance
pin bars: the most powerful forex trading signal,Pago,200,494,16,19,all levels,1.0,2016-08-10T13:10:13Z,business finance
stock options trades using interactive brokers,Pago,95,1580,26,14,intermediate level,1.0,2015-09-07T20:21:39Z,business finance
introduction to options  strategies for consistent profits,Pago,40,617,44,55,all levels,4.5,2015-08-16T22:14:02Z,business finance
risk in forex transactions  for ca / cs / cfa exams,Pago,20,2235,3,9,all levels,1.0,2015-09-29T17:27:02Z,business finance
basics of business statistics (college level),Pago,20,2293,9,28,all levels,2.0,2015-01-06T13:05:53Z,business finance
trading seasonal price patterns in stocks futures & forex!,Pago,200,1094,8,13,beginner level,2.0,2016-03-30T04:56:57Z,business finance
interpreting financial statements,Pago,20,1449,29,23,beginner level,1.5,2013-06-06T21:50:57Z,business finance
introduction to bookkeeping (accounting),Pago,20,3251,10,59,beginner level,12.0,2014-01-31T20:40:36Z,business finance
credit spread surgery  bear call and bull put mastery ,Pago,60,607,55,16,intermediate level,2.0,2013-03-05T11:31:37Z,business finance
investment banking: how to land a job on wall street,Pago,75,1218,30,63,all levels,3.5,2015-06-11T19:09:17Z,business finance
learn to invest in index funds and etfs in 7 easy steps,Pago,20,1132,33,18,all levels,1.0,2015-07-20T23:48:08Z,business finance
financial modeling: build a multiples valuation model,Pago,20,656,17,20,all levels,1.5,2016-05-30T18:00:22Z,business finance
trade recap i  a real look at futures options markets,Pago,20,3339,4,11,beginner level,1.5,2014-02-17T09:22:13Z,business finance
advanced stock options for serious equity investors!,Pago,200,1271,23,7,expert level,1.5,2015-09-22T19:48:31Z,business finance
trading binary options for fun and profit,Pago,20,1574,24,46,all levels,2.0,2015-02-21T00:36:13Z,business finance
cfa: fast track your career in finance,Pago,20,1393,27,21,beginner level,2.0,2015-09-29T20:12:53Z,business finance
how to be a profitable forex trader,Pago,20,1029,13,7,all levels,0.6833333333333333,2016-05-04T00:01:47Z,business finance
excel dashboard  interactive excel dashboard and charts,Pago,30,843,54,34,all levels,3.0,2015-03-19T16:57:50Z,business finance
accounting 101: learn business finance forecasting in 60mins,Pago,95,1730,12,12,all levels,1.5,2014-07-24T15:20:39Z,business finance
the securities trade lifecycle,Pago,50,1182,110,22,all levels,4.0,2014-03-12T13:40:53Z,business finance
double your forex account using the magic ma trading robot,Pago,65,1160,117,24,intermediate level,2.5,2014-12-10T21:45:30Z,business finance
technical analysis 101: how to profit during market crashes,Pago,95,1730,18,53,all levels,2.0,2016-01-27T17:38:23Z,business finance
advanced accounting for investment banking,Pago,50,1260,80,38,intermediate level,4.0,2014-10-01T18:51:06Z,business finance
investing in stocks with 10 simple rules,Pago,95,871,79,59,all levels,2.0,2015-06-16T21:35:07Z,business finance
venture capital what is it and why it matters to you!,Pago,50,1566,48,25,all levels,2.5,2015-10-14T17:50:29Z,business finance
cash flow valuation: develop your financial literacy,Pago,105,2987,23,19,all levels,2.0,2014-12-22T13:39:16Z,business finance
directionindepend trading  elite forex traders  strategy,Pago,120,973,15,28,all levels,2.5,2016-06-21T22:46:41Z,business finance
how to become a financial analyst from scratch!,Pago,40,2177,31,38,beginner level,5.0,2015-07-07T18:59:39Z,business finance
